"colony","hive","cca","date","doy","adult_num_low","adult_num_mean","adult_num_high","honey_kg_low","honey_kg_mean","honey_kg_high","pupae_num_low","pupae_num_mean","pupae_num_high"
"LSCFS_2014_2","E","CCA10",2015-04-28,118,6641.019,2941.981,12524.981,2.036824,1.647588,5.332,7765.284,9606.716,26978.716
"LSCFS_2014_2","E","CCA4",2014-07-30,211,10887.03,6899.1395,24685.309,4.81347504,4.51626248,13.846,1307.028,7760.64,16828.308
"LSCFS_2014_2","E","CCA5",2014-08-24,236,8379.756,4183.4175,16746.591,3.369432528,3.862283736,11.094,6688.908,9343.556,25376.02
"LSCFS_2014_2","E","CCA6",2014-09-20,263,3100.482,9457.9665,22016.415,5.207304816,2.900347592,11.008,615.072,7305.27,15225.612
"LSCFS_2014_2","E","CCA7",2014-10-08,281,2323.629,6612.2215,15548.072,2.275460928,3.205269536,8.686,691.956,2725.856,6143.668
"LSCFS_2014_2","E","CCA8",2014-10-28,301,2034.648,2433.8095,6902.267,1.137730464,6.139134768,13.416,615.072,1695.834,4006.74
"LSCFS_2014_2","E","CCA9",2015-03-31,90,2469.159,1093.841,4656.841,3.909388,3.162306,10.234,2075.868,2568.132,7212.132
"LSCFS_2014_2","F","CCA10",2015-04-28,118,3668.742,1625.258,6919.258,1.544044,1.248978,4.042,4689.924,5802.076,16294.076
"LSCFS_2014_2","F","CCA4",2014-07-30,211,11970.882,5329.258,22629.398,1.75035456,5.35982272,12.47,6919.56,11098.042,29115.644
"LSCFS_2014_2","F","CCA5",2014-08-24,236,10647.945,5494.0665,21636.078,2.40673752,4.12863124,10.664,6612.024,10717.578,28047.18
"LSCFS_2014_2","F","CCA6",2014-09-20,263,8118.495,7779.5585,23677.612,2.669290704,2.793354648,8.256,6688.908,11480.484,29649.876
"LSCFS_2014_2","F","CCA7",2014-10-08,281,6803.874,8304.2085,23412.291,1.794113424,1.811943288,5.418,1998.984,6479.756,14958.496
"LSCFS_2014_2","F","CCA8",2014-10-28,301,2615.382,4848.279,12311.94,5.68865232,2.83167384,11.352,76.884,1297.138,2671.16
"LSCFS_2014_2","F","CCA9",2015-03-31,90,1191.96,528.04,2248.04,2.890976,2.338512,7.568,691.956,856.044,2404.044
"LSCFS_2014_2","G","CCA10",2015-04-28,118,16108.092,7135.908,30379.908,5.551988,4.491006,14.534,10686.876,13221.124,37129.124
"LSCFS_2014_2","G","CCA4",2014-07-30,211,7683.984,7996.1605,23676.305,2.62553184,3.20223408,9.03,5996.952,11826.462,29649.876
"LSCFS_2014_2","G","CCA5",2014-08-24,236,10299.366,11216.571,32732.508,2.450496384,1.913751808,6.278,7457.748,12431.644,32321.036
"LSCFS_2014_2","G","CCA6",2014-09-20,263,8190.567,8938.1205,26066.808,1.575319104,3.770340448,9.116,4305.504,8398.33,21102.164
"LSCFS_2014_2","G","CCA7",2014-10-08,281,4881.492,7975.3905,20832.273,1.53156024,4.30821988,10.148,1076.376,1732.298,4540.972
"LSCFS_2014_2","G","CCA8",2014-10-28,301,1909.215,6340.413,14590.041,1.356524784,5.513737608,12.384,230.652,953.138,2136.928
"LSCFS_2014_2","G","CCA9",2015-03-31,90,6288.282,2785.718,11859.718,0.722744,0.584628,1.892,5612.532,6943.468,19499.468
"LSCFS_2014_2","H","CCA4",2014-07-30,211,9205.119,7702.192,24609.503,4.900992768,5.074503616,15.05,6073.836,8983.302,24040.44
"LSCFS_2014_2","H","CCA5",2014-08-24,236,10966.032,6743.3155,24452.663,6.082482096,6.074758952,18.232,8226.588,10444.528,29115.644
"LSCFS_2014_2","H","CCA6",2014-09-20,263,6728.337,6037.0825,18802.502,5.68865232,6.70167384,19.092,0,4140.298,8280.596
